2022-05-15 17:05:850 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:278 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:405 INFO  SignInPage :48 - Click on signin [[ChromeDriver: chrome on WINDOWS (9f83ec3686d36e60164ecf8fb8a83884)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-15 17:05:436 INFO  SignInPage :74 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9f83ec3686d36e60164ecf8fb8a83884)] -> xpath: //span[@class='navigation_page']]
2022-05-15 18:05:89 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 18:05:905 INFO  SignInPage :48 - Click on signin [[ChromeDriver: chrome on WINDOWS (9485c7a48893b45da8fd595da86cdfa1)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-15 18:05:946 INFO  SignInPage :74 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9485c7a48893b45da8fd595da86cdfa1)] -> xpath: //span[@class='navigation_page']]
2022-05-15 19:05:223 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 19:05:518 INFO  SignInPage :48 - Click on signin [[ChromeDriver: chrome on WINDOWS (1dded5780d8752867b764c6418f6fc29)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-15 19:05:579 INFO  SignInPage :52 -  Enter emil in emil addressfield [[ChromeDriver: chrome on WINDOWS (1dded5780d8752867b764c6418f6fc29)] -> xpath: //input[@id='email']]
2022-05-15 19:05:646 INFO  SignInPage :57 - Enter password 123456 in password field [[ChromeDriver: chrome on WINDOWS (1dded5780d8752867b764c6418f6fc29)] -> xpath: //input[@id='passwd']]
2022-05-15 19:05:255 INFO  SignInPage :61 - Click on signin [[ChromeDriver: chrome on WINDOWS (1dded5780d8752867b764c6418f6fc29)] -> xpath: //button[@id='SubmitLogin']]
2022-05-15 19:05:276 INFO  SignInPage :85 - check error message is diplyed [[ChromeDriver: chrome on WINDOWS (1dded5780d8752867b764c6418f6fc29)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-15 19:05:997 INFO  ManageDriver :32 - Launching Chrome Browser
